#b/a normalized_frequency error_+ error_-
0.024904968 -0.0049879258 -0.0050016856 -0.0049879258
0.07470804  -0.004465054 0.00603367 -0.009714415
0.12572895  0.13780434 0.15355243 0.12207002
0.17519191  0.65801406 0.7210064 0.6055204
0.22463769  1.2044705 1.3094716 1.094234
0.27706885  1.1945223 1.2680132 1.1367792
0.32674822  1.3840221 1.4995081 1.2737855
0.37653756  1.4055425 1.5315409 1.2795715
0.42773712  1.274845 1.3588349 1.1908553
0.47884735  1.2806311 1.3751057 1.1966412
0.52863324  1.3074007 1.3966398 1.2286602
0.5784775   1.2449312 1.3341842 1.1662046
0.62956375  1.2874627 1.376702 1.2087361
0.6806705   1.2984982 1.398236 1.2145083
0.7304736   1.299021 1.3672627 1.241278
0.7802973   1.2680477 1.3468019 1.184058
0.83142465  1.2475868 1.3420892 1.1583477
0.8812896   1.1536212 1.227126 1.0906427
0.9325578   0.91793656 0.9704302 0.8654567
0.98397386  0.45652938 0.45652938 0.45652938

