#b/a normalized_frequency error_+ error_-
0.021101    0.0111487    0.0054990877 1.48265
0.0745428   -0.000419959 0.010847624 -0.0116875
0.123769    -0.000697291 0.021829952 -0.00633901
0.174436    0.0947919    0.11731915 0.0835164
0.225163    0.364929     0.3987314 0.33676
0.274526    0.753383     0.8153388 0.691403
0.325244    0.995351     1.0291535 0.972808
0.375916    1.10774      1.14717 1.07957
0.426561    1.14126      1.2032305 1.09619
0.475835    1.27619      1.3494239 1.22547
0.526486    1.32661      1.3772997 1.28153
0.577158    1.439        1.5065916 1.38266
0.627826    1.54012      1.6640604 1.43872
0.678505    1.66942      1.7539238 1.57928
0.729149    1.70293      1.8156102 1.61279
0.778364    1.66885      1.7420857 1.62378
0.828955    1.55026      1.6403842 1.47702
0.879523    1.36406      1.4260308 1.31898
0.930067    1.11025      1.166591  1.04265
0.980578    0.766307     1.1549295 0.715595
