q frequency err
0.02631578947368421 2.1566372949404296e-05 2.111634788521551e-05
0.07894736842105263 0.0 0.0
0.13157894736842105 0.0048937126934026865 0.0016217135352254303
0.18421052631578946 0.03775966803299435 0.013952409303681601
0.23684210526315788 0.08544732299291156 0.0076056227235804155
0.2894736842105263 0.20370324697773318 0.026660807861473245
0.3421052631578947 0.3593734109568468 0.027586682862507345
0.39473684210526316 0.45435122250872895 0.02860698169419144
0.4473684210526315 0.6225750170125584 0.04939645420512405
0.5 0.8202643167778952 0.04371941586380351
0.5526315789473684 1.2144766894568535 0.051946045556968856
0.6052631578947368 1.5585907037017046 0.05795807597634837
0.6578947368421052 1.8867500540862312 0.05845561808836835
0.7105263157894737 2.11314486827444 0.05829057168132429
0.763157894736842 2.2754764480575145 0.058222246978008416
0.8157894736842105 2.2869026307616633 0.0602337463329004
0.8684210526315789 2.1775638217235356 0.059208377620015074
0.9210526315789473 1.7348701034181988 0.04999395908376727
0.9736842105263157 1.1638351961937892 0.06416407590091197
