q frequency err
0.02631578947368421 0.0 0.0
0.07894736842105263 0.015679257628451928 0.008174436080151806
0.13157894736842105 0.137570204836793 0.055565499601470725
0.18421052631578946 0.41517372956244375 0.10771848466002155
0.23684210526315788 0.9645949475970376 0.2996649453786699
0.2894736842105263 1.0741655843303628 0.2912330707471864
0.3421052631578947 1.2719952900058173 0.23649951589468846
0.39473684210526316 1.2338457687460838 0.19818779229855657
0.4473684210526315 1.4273223209667985 0.3001112481991952
0.5 1.6138572411149525 0.4228944816099744
0.5526315789473684 1.2529950731237827 0.2174294052242047
0.6052631578947368 1.4453344766965104 0.31594193346548677
0.6578947368421052 1.1617097412573296 0.30265185163899405
0.7105263157894737 0.9572410685829063 0.11113805853137448
0.763157894736842 0.6980998321531655 0.06929087504384833
0.8157894736842105 1.0003282012213695 0.15144743058722024
0.8684210526315789 1.3463311614987954 0.42338754813569646
0.9210526315789473 0.9296021825779341 0.2299490132428424
0.9736842105263157 2.054153918099496 0.8648076014938285
