q frequency err
0.02631578947368421 0.0 0.0
0.07894736842105263 0.001404120677563675 0.0006240012688687172
0.13157894736842105 0.08669150538346446 0.02148894304133473
0.18421052631578946 0.253736253709933 0.049037511328849065
0.23684210526315788 0.6921724581930635 0.12954063992675813
0.2894736842105263 0.9070758959673743 0.11305413733609414
0.3421052631578947 1.0436687838157621 0.10349588114373769
0.39473684210526316 1.1205107684240243 0.11529439504081736
0.4473684210526315 1.2316105642713548 0.09580450648924026
0.5 1.256452136442995 0.07871092726171881
0.5526315789473684 1.360123313148063 0.1380598187026337
0.6052631578947368 1.5200431986488288 0.15513292594163944
0.6578947368421052 1.4381599735959334 0.12238601555424326
0.7105263157894737 1.480096035596495 0.10668497567820943
0.763157894736842 1.5403407252283015 0.187202553955247
0.8157894736842105 1.4927882807713744 0.1694622792620981
0.8684210526315789 1.2752692342511258 0.06180179143202545
0.9210526315789473 1.0777412747416666 0.07233996851074838
0.9736842105263157 1.2221154771327056 0.2731347943957131
